status,payroll,pts
1,218556000,91
1,181476000,89
1,143292000,82
1,129326000,68
1,144266000,66
1,205424000,63
0,95981600,60
1,207155000,60
1,105976000,52
0,74530000,49
0,70022000,48
0,59618000,48
0,72980000,47
0,58286000,46
0,85313000,40
0,45806000,39
0,83320000,32
0,27392000,26
0,42182000,24
0,33696000,16
1,202452000,89
1,126142000,84
1,230435000,75
0,88547600,71
1,161648000,67
0,47861000,62
1,103372000,61
1,133334000,60
0,32736000,59
0,66672000,52
1,260630000,44
0,75151000,41
0,93508000,40
0,49232000,39
0,84320000,38
0,99937000,36
0,81900000,34
0,55587600,31
0,66570000,25
1,154804000,93
1,156518000,92
1,206240000,74
1,107865200,71
1,117625273,69
1,238856200,58
0,69332000,56
0,73325000,52
0,48117333,51
0,61016600,51
0,65179200,49
0,67412000,48
0,17336600,46
0,72418396,45
0,52074000,40
0,94690000,39
0,33695400,38
0,36688000,35
0,35221000,23
0,25380000,22
1,147959000,86
1,193923200,74
1,138314000,69
1,195515200,67
0,77755000,66
0,77284000,65
1,138813200,62
1,139803273,61
0,29052800,59
1,101202000,59
0,62852396,55
0,64173200,45
0,61217000,45
0,87291000,44
0,65172000,43
0,54969333,41
0,38598000,39
0,56792824,28
0,30311200,26
0,21476800,23
1,130984000,99
1,155049000,81
1,180735000,66
1,155030000,66
0,84431800,62
0,95638000,59
0,53891000,59
1,129840273,56
0,17718000,54
0,50948000,54
0,67212000,52
0,98208000,49
0,54716000,44
0,76362000,43
0,52738666,41
0,84368000,39
0,39704396,35
0,51760000,34
0,50258000,34
0,21478000,21
1,150666000,98
1,137108000,97
1,172222000,72
0,90766000,71
1,139285273,70
1,152620000,66
0,39353000,57
1,109032000,54
0,85534500,52
0,88816000,52
0,53824000,50
0,73944000,49
0,53232000,45
0,54139000,45
0,46184400,40
0,79549600,39
0,44008666,36
0,26737166,34
0,41878800,26
0,32203600,16
1,144274000,100
1,151424000,81
0,83616000,77
1,100396000,75
1,145788000,70
1,131315713,63
0,36904400,54
0,89492000,49
0,75186800,47
0,55276000,44
0,68164200,44
0,49283600,44
0,77636000,42
0,52706000,41
0,42021200,40
0,30784000,37
0,73174400,36
0,49400000,33
0,59592000,33
0,52728000,31
1,145788000,93
0,83616000,86
1,144274000,78
1,100396000,76
1,131314714,75
1,151424000,69
0,89492000,61
0,73174400,46
0,49283600,46
0,52728000,45
0,77636000,45
0,75186800,44
0,59592000,44
0,68164200,41
0,49400000,41
0,36904400,40
0,52706000,40
